Trial,Sat_Config,Total_Rods,Nominal,Reached_Steady_State,Lock_Day,W_Mag(deg/s),Wx,Wy,Wz,q0,q1,q2,q3
1,3U,4,No,Yes,5.363627,12.247449,10.000000,5.000000,5.000000,1.000000,0.000000,0.000000,0.000000
2,1U,2,No,Yes,1.510983,15.259822,-15.125478,1.649761,-1.166340,0.182260,0.666391,-0.368179,0.622213
3,1U,2,No,Yes,15.019711,19.277927,18.112385,-6.565937,0.684428,0.665725,-0.198430,0.260151,0.670640
4,1U,2,No,Yes,3.558724,33.846044,1.294682,32.053875,10.790162,0.826038,0.537360,0.116258,-0.124059
5,1U,2,Yes,Yes,0.612679,7.769761,4.032156,-1.855255,6.377220,0.069737,-0.461931,-0.546084,-0.695376
6,1U,2,No,Yes,3.432407,31.250105,-8.113669,9.841988,-28.528455,-0.322369,-0.531222,-0.781119,-0.061112
7,1U,2,Yes,Yes,13.994281,2.670790,1.789922,-1.011994,1.704455,-0.988909,-0.035536,-0.144041,-0.006962
8,1U,2,No,Yes,15.019892,30.570029,21.868630,21.156774,2.946288,-0.437109,0.062682,0.873695,0.204117
9,1U,2,Yes,Yes,0.194463,0.363095,0.002343,-0.000985,-0.363086,-0.328630,0.908208,0.181789,0.184698
10,1U,2,No,Yes,2.291006,26.996223,-21.005462,5.522996,16.033188,0.226338,0.699301,0.111674,0.668788
11,1U,2,Yes,Yes,14.440910,6.309439,-5.230080,-0.214037,3.522708,0.646142,0.069624,-0.758254,0.052000
12,1U,2,Yes,Yes,12.416580,5.395699,5.138728,-1.534229,0.594294,0.097988,-0.485064,0.866105,-0.070522
13,1U,2,No,Yes,2.570717,27.219584,-15.193221,19.762988,10.931429,-0.763653,0.047727,-0.158496,-0.624048
14,1U,2,No,Yes,12.416661,17.988017,10.930993,10.586112,-9.592516,-0.554650,-0.218709,0.801518,-0.045815
15,1U,2,No,Yes,15.019630,29.708619,-22.574363,-14.598270,-12.644791,-0.180613,-0.159506,-0.836156,0.492727
16,1U,2,Yes,Yes,4.397392,7.815188,0.280915,1.207202,-7.716276,-0.225561,0.788135,0.134589,-0.556643
17,1U,2,No,Yes,2.956517,10.313275,0.598653,-6.461975,-8.015494,-0.576051,-0.383887,-0.256214,-0.674649
18,1U,2,No,Yes,5.199060,22.763098,0.193903,10.312037,-20.292436,-0.464418,-0.384405,0.000329,-0.797840
19,1U,2,Yes,Yes,4.396700,3.413676,1.684700,-2.297546,-1.880492,-0.271064,0.407340,0.708962,-0.507908
20,1U,2,No,Yes,15.019619,20.584578,13.923319,13.542497,6.816658,-0.137020,-0.916875,-0.351355,0.130824
21,1U,2,Yes,Yes,0.183051,1.705371,-0.478328,0.141403,-1.630797,-0.146374,0.279482,0.846148,0.429532
22,1U,2,Yes,Yes,0.370134,7.296119,-0.345410,-1.349543,7.161897,-0.053226,0.772143,-0.482321,0.410279
23,1U,2,No,Yes,1.739057,18.105426,9.858823,12.753263,-8.244048,0.233867,-0.812663,-0.344287,0.407862
24,1U,2,No,Yes,10.747411,33.600606,7.116528,-12.826937,30.229546,0.652841,0.054435,-0.024105,0.755152
25,1U,2,No,Yes,13.506877,30.454345,9.754455,-14.030702,-25.208275,-0.254755,0.516025,0.567995,-0.588388
26,1U,2,No,Yes,15.019527,10.777723,0.500720,9.636581,4.800511,-0.114063,0.332752,0.136799,0.926041
27,1U,2,No,Yes,11.040224,14.900249,11.967746,5.122943,7.248859,0.484909,-0.101077,0.778719,-0.385024
28,1U,2,No,Yes,5.421977,25.515481,4.786611,-23.265253,-9.319663,0.362765,-0.032275,-0.466530,0.806046
29,1U,2,No,Yes,6.387037,30.231599,-5.998340,-28.301584,8.774387,-0.098420,-0.194298,-0.713813,-0.665607
30,1U,2,No,Yes,4.490881,22.545024,-4.232854,7.722040,-20.754063,0.979808,0.158789,-0.110354,-0.050829
31,1U,2,No,Yes,1.388448,10.011884,4.930273,4.106795,7.685341,0.382708,0.674527,0.580386,-0.248395
32,1U,2,No,Yes,11.040008,30.061124,-5.637378,2.170909,29.447892,0.690915,-0.469396,0.207360,0.509222
33,1U,2,No,Yes,0.769865,8.697854,-2.565979,-6.433209,-5.261393,0.925840,0.330433,0.142893,0.114960
34,1U,2,Yes,Yes,0.248105,1.349659,0.739330,-1.069961,0.360767,-0.105538,-0.387735,0.914205,0.052466
35,1U,2,No,Yes,1.514549,16.031923,-12.063942,-9.906929,-3.651934,-0.633433,0.275283,0.327085,-0.644978
36,1U,2,No,Yes,2.173190,25.497752,3.809861,19.396870,-16.105332,0.348767,0.332466,-0.286544,0.828083
37,1U,2,No,Yes,16.395657,33.057381,-2.943009,-32.523084,5.135967,0.626919,-0.564479,-0.247546,0.476505
38,1U,2,No,Yes,4.397363,13.467059,8.472029,10.154755,2.543099,0.245378,-0.373863,-0.476017,0.757248
39,1U,2,No,Yes,11.040219,19.141120,10.855147,6.971940,-14.140026,-0.756023,-0.100704,-0.622781,0.174444
40,1U,2,No,Yes,14.440920,14.269046,-7.348814,11.589041,-3.910850,-0.661871,0.699253,-0.246362,-0.110805
41,1U,2,No,Yes,3.209123,8.782327,-5.031708,1.433438,-7.053824,0.123750,-0.570817,-0.746823,0.317977
42,1U,2,No,Yes,12.416503,13.108904,8.430402,9.487607,3.279786,0.368978,0.763038,0.511619,0.140974
43,1U,2,Yes,Yes,3.754602,4.026910,0.812268,-3.155605,-2.366090,-0.287773,-0.634862,0.519434,-0.494293
44,1U,2,No,Yes,13.993916,29.219475,-11.857330,25.487452,-7.973159,-0.470808,-0.507256,-0.619177,0.371013
45,1U,2,No,Yes,1.701182,34.615403,2.514639,-8.382800,-33.490766,0.635941,0.126724,-0.734487,0.200120
46,1U,2,No,Yes,17.297299,27.434132,9.365026,-23.928637,9.609799,0.539361,-0.318434,0.765195,0.148884
47,1U,2,Yes,Yes,4.107306,3.972097,3.621352,1.522651,-0.587279,-0.513223,-0.514684,0.165818,-0.666489
48,1U,2,Yes,Yes,0.167216,0.612159,0.435335,-0.401730,-0.154387,0.587327,0.407014,-0.205682,-0.668641
49,1U,2,No,Yes,12.416479,10.533756,-5.217865,4.225902,8.116382,-0.790875,-0.229608,-0.513813,-0.240403
50,1U,2,No,Yes,4.522661,17.311058,-6.935655,-15.771488,-1.682129,-0.514875,-0.016984,0.788921,0.334990
51,1U,2,No,Yes,15.019531,23.650600,-19.426305,-11.865479,6.417159,0.292216,-0.264787,0.803539,0.445895
